# c = cos(theta) = 1/sqrt(2), epsilon = 1/8
# ID     Pnm              dPnm             ddPnm
01       7.3471E-01      -9.2036E-01      -6.2943E-01
02       7.5767E-01      -1.1599E+00      -4.5182E-01
03       7.9213E-01      -1.6913E+00       1.5284E-01
04       8.1956E-01      -2.9077E+00       2.2733E+00
05       7.2159E-01      -8.0939E-01      -6.8298E-01
06       2.9581E-02      -2.0026E-01       3.5342E-02
07       3.6310E-01      -4.2246E-01      -3.3520E-01
08       1.6913E+00      -1.5284E-01      -5.1401E+00
09       1.1599E+00       4.5182E-01      -2.7311E+00
10       9.2036E-01       6.2943E-01      -1.6399E+00
11       8.0939E-01       6.8298E-01      -1.1444E+00
12       4.2246E-01       3.3520E-01      -6.5015E-01
13       7.5681E-01       6.9949E-01      -9.1563E-01
14       7.0805E-01       8.6320E-01      -2.2240E+00
15       2.9093E-01       4.2859E-01      -6.5333E-01
16       1.2640E-01       2.0865E-01      -1.9641E-01
17       2.3560E-01       4.0807E-01      -2.8437E-01
18       8.7256E-02       1.4043E-01      -1.5043E-01
19       5.7317E-02       1.0150E-01      -6.0295E-02
