# c = cos(theta) = 1/sqrt(2), epsilon = 1/8
# ID     Pnm              dPnm             ddPnm
01       8.1956e-01      -2.9077e+00       2.2733E+00
02       7.9213e-01      -1.6913e+00       1.5284E-01
03       7.5767e-01      -1.1599e+00      -4.5182E-01
04       7.3471e-01      -9.2036e-01      -6.2943E-01
05       7.2159e-01      -8.0939e-01      -6.8298E-01
06       2.9581e-02      -2.0026e-01       3.5342E-02
07       3.6310e-01      -4.2246e-01      -3.3520E-01
08       1.6913e+00      -1.5284e-01      -5.1401E+00
09       1.1599e+00       4.5182e-01      -2.7311E+00
10       9.2036e-01       6.2943e-01      -1.6399E+00
11       8.0939e-01       6.8298e-01      -1.1444E+00
12       4.2246e-01       3.3520e-01      -6.5015E-01
13       7.5681e-01       6.9949e-01      -9.1563E-01
14       7.0805e-01       8.6320e-01      -2.2240E+00
15       2.9093e-01       4.2859e-01      -6.5333E-01
16       1.2640e-01       2.0865e-01      -1.9641E-01
17       2.3560e-01       4.0807e-01      -2.8437E-01
18       8.7256e-02       1.4043e-01      -1.5043E-01
19       5.7317e-02       1.0150e-01      -6.0295E-02
